| std=0.2 | lr=0.01 | finalacc=92.86 | bestacc=93.07 (10) |
| std=0.2 | lr=0.1 | finalacc=97.69 | bestacc=98.06 (12) |
| std=0.2 | lr=1.0 | finalacc=98.2 | bestacc=98.54 (10) |
| std=0.2 | lr=5.0 | finalacc=93.3 | bestacc=97.44 (11) |
| std=0.2 | lr=10.0 | finalacc=95.48 | bestacc=96.86 (9) |
| std=0.2 | bs=16 | finalacc=96.03 | bestacc=97.81 (8) |
| std=0.2 | bs=32 | finalacc=98.09 | bestacc=98.57 (9) |
| std=0.2 | bs=64 | finalacc=98.2 | bestacc=98.54 (10) |
| std=0.2 | bs=128 | finalacc=98.41 | bestacc=98.58 (13) |
| std=0.2 | bs=256 | finalacc=98.39 | bestacc=98.63 (13) |
| std=0.2 | gamma=0.5 | finalacc=98.22 | bestacc=98.5 (9) |
| std=0.2 | gamma=0.6 | finalacc=98.15 | bestacc=98.47 (12) |
| std=0.2 | gamma=0.7 | finalacc=98.2 | bestacc=98.54 (10) |
| std=0.2 | gamma=0.8 | finalacc=98.19 | bestacc=98.46 (11) |
| std=0.2 | gamma=0.9 | finalacc=98.05 | bestacc=98.42 (9) |
| std=0.4 | lr=0.01 | finalacc=90.65 | bestacc=91.88 (10) |
| std=0.4 | lr=0.1 | finalacc=96.48 | bestacc=97.58 (10) |
| std=0.4 | lr=1.0 | finalacc=95.33 | bestacc=97.85 (9) |
| std=0.4 | lr=5.0 | finalacc=73.76 | bestacc=91.18 (6) |
| std=0.4 | lr=10.0 | finalacc=87.32 | bestacc=94.15 (9) |
| std=0.4 | bs=16 | finalacc=79.07 | bestacc=96.32 (3) |
| std=0.4 | bs=32 | finalacc=94.78 | bestacc=97.79 (9) |
| std=0.4 | bs=64 | finalacc=95.33 | bestacc=97.85 (9) |
| std=0.4 | bs=128 | finalacc=96.88 | bestacc=98.11 (9) |
| std=0.4 | bs=256 | finalacc=97.52 | bestacc=98.05 (12) |
| std=0.4 | gamma=0.5 | finalacc=95.78 | bestacc=97.94 (9) |
| std=0.4 | gamma=0.6 | finalacc=95.18 | bestacc=97.91 (10) |
| std=0.4 | gamma=0.7 | finalacc=95.33 | bestacc=97.85 (9) |
| std=0.4 | gamma=0.8 | finalacc=95.05 | bestacc=97.86 (3) |
| std=0.4 | gamma=0.9 | finalacc=95.16 | bestacc=97.48 (9) |
| std=0.6 | lr=0.01 | finalacc=85.45 | bestacc=88.14 (6) |
| std=0.6 | lr=0.1 | finalacc=91.39 | bestacc=96.27 (8) |
| std=0.6 | lr=1.0 | finalacc=80.24 | bestacc=96.38 (3) |
| std=0.6 | lr=5.0 | finalacc=51.56 | bestacc=74.98 (1) |
| std=0.6 | lr=10.0 | finalacc=58.95 | bestacc=85.21 (9) |
| std=0.6 | bs=16 | finalacc=43.37 | bestacc=89.91 (3) |
| std=0.6 | bs=32 | finalacc=76.37 | bestacc=95.34 (3) |
| std=0.6 | bs=64 | finalacc=80.24 | bestacc=96.38 (3) |
| std=0.6 | bs=128 | finalacc=89.85 | bestacc=96.64 (5) |
| std=0.6 | bs=256 | finalacc=93.01 | bestacc=96.54 (6) |
| std=0.6 | gamma=0.5 | finalacc=82.09 | bestacc=96.13 (10) |
| std=0.6 | gamma=0.6 | finalacc=79.22 | bestacc=96.15 (9) |
| std=0.6 | gamma=0.7 | finalacc=80.24 | bestacc=96.38 (3) |
| std=0.6 | gamma=0.8 | finalacc=75.48 | bestacc=96.43 (3) |
| std=0.6 | gamma=0.9 | finalacc=76.2 | bestacc=95.54 (3) |
| std=0.8 | lr=0.01 | finalacc=76.17 | bestacc=82.08 (6) |
| std=0.8 | lr=0.1 | finalacc=78.44 | bestacc=92.08 (6) |
| std=0.8 | lr=1.0 | finalacc=52.31 | bestacc=91.44 (3) |
| std=0.8 | lr=5.0 | finalacc=32.31 | bestacc=47.08 (3) |
| std=0.8 | lr=10.0 | finalacc=47.68 | bestacc=67.34 (9) |
| std=0.8 | bs=16 | finalacc=21.1 | bestacc=73.59 (1) |
| std=0.8 | bs=32 | finalacc=45.88 | bestacc=86.02 (3) |
| std=0.8 | bs=64 | finalacc=52.31 | bestacc=91.44 (3) |
| std=0.8 | bs=128 | finalacc=68.94 | bestacc=93.27 (5) |
| std=0.8 | bs=256 | finalacc=78.2 | bestacc=91.28 (6) |
| std=0.8 | gamma=0.5 | finalacc=52.79 | bestacc=90.78 (3) |
| std=0.8 | gamma=0.6 | finalacc=49.83 | bestacc=91.13 (3) |
| std=0.8 | gamma=0.7 | finalacc=52.31 | bestacc=91.44 (3) |
| std=0.8 | gamma=0.8 | finalacc=45.54 | bestacc=91.91 (3) |
| std=0.8 | gamma=0.9 | finalacc=47.89 | bestacc=91.23 (3) |
| std=1.0 | lr=0.01 | finalacc=61.8 | bestacc=70.43 (6) |
| std=1.0 | lr=0.1 | finalacc=61.33 | bestacc=82.73 (6) |
| std=1.0 | lr=1.0 | finalacc=29.78 | bestacc=73.28 (3) |
| std=1.0 | lr=5.0 | finalacc=19.62 | bestacc=28.92 (3) |
| std=1.0 | lr=10.0 | finalacc=31.45 | bestacc=47.12 (1) |
| std=1.0 | bs=16 | finalacc=12.58 | bestacc=52.3 (1) |
| std=1.0 | bs=32 | finalacc=25.13 | bestacc=66.07 (1) |
| std=1.0 | bs=64 | finalacc=29.78 | bestacc=73.28 (3) |
| std=1.0 | bs=128 | finalacc=43.82 | bestacc=84.4 (6) |
| std=1.0 | bs=256 | finalacc=52.13 | bestacc=80.16 (6) |
| std=1.0 | gamma=0.5 | finalacc=32.13 | bestacc=78.14 (6) |
| std=1.0 | gamma=0.6 | finalacc=30.36 | bestacc=76.63 (6) |
| std=1.0 | gamma=0.7 | finalacc=29.78 | bestacc=73.28 (3) |
| std=1.0 | gamma=0.8 | finalacc=26.64 | bestacc=77.54 (3) |
| std=1.0 | gamma=0.9 | finalacc=30.72 | bestacc=76.24 (3) |
