| std=0.2 | nconv=2 nfc=1 | finalacc=98.69 | bestacc=98.93 (9) |
| std=0.2 | nconv=2 nfc=2 | finalacc=98.2 | bestacc=98.54 (10) |
| std=0.2 | nconv=2 nfc=3 | finalacc=99.03 | bestacc=99.03 (14) |
| std=0.4 | nconv=2 nfc=1 | finalacc=97.74 | bestacc=98.65 (9) |
| std=0.4 | nconv=2 nfc=2 | finalacc=95.33 | bestacc=97.85 (9) |
| std=0.4 | nconv=2 nfc=3 | finalacc=98.71 | bestacc=98.71 (14) |
| std=0.6 | nconv=2 nfc=1 | finalacc=91.18 | bestacc=97.75 (1) |
| std=0.6 | nconv=2 nfc=2 | finalacc=80.24 | bestacc=96.38 (3) |
| std=0.6 | nconv=2 nfc=3 | finalacc=98.11 | bestacc=98.11 (14) |
| std=0.8 | nconv=2 nfc=1 | finalacc=67.22 | bestacc=95.25 (1) |
| std=0.8 | nconv=2 nfc=2 | finalacc=52.31 | bestacc=91.44 (3) |
| std=0.8 | nconv=2 nfc=3 | finalacc=95.83 | bestacc=95.83 (14) |
| std=1.0 | nconv=2 nfc=1 | finalacc=45.08 | bestacc=85.27 (1) |
| std=1.0 | nconv=2 nfc=2 | finalacc=29.78 | bestacc=73.28 (3) |
| std=1.0 | nconv=2 nfc=3 | finalacc=84.05 | bestacc=87.44 (8) |
| std=0.2 | nconv=1 nfc=2 | finalacc=96.63 | bestacc=96.85 (9) |
| std=0.2 | nconv=2 nfc=2 | finalacc=98.2 | bestacc=98.54 (10) |
| std=0.2 | nconv=3 nfc=2 | finalacc=98.88 | bestacc=98.95 (8) |
| std=0.4 | nconv=1 nfc=2 | finalacc=91.7 | bestacc=94.39 (2) |
| std=0.4 | nconv=2 nfc=2 | finalacc=95.33 | bestacc=97.85 (9) |
| std=0.4 | nconv=3 nfc=2 | finalacc=98.35 | bestacc=98.56 (9) |
| std=0.6 | nconv=1 nfc=2 | finalacc=74.31 | bestacc=88.46 (2) |
| std=0.6 | nconv=2 nfc=2 | finalacc=80.24 | bestacc=96.38 (3) |
| std=0.6 | nconv=3 nfc=2 | finalacc=96.34 | bestacc=97.58 (9) |
| std=0.8 | nconv=1 nfc=2 | finalacc=53.72 | bestacc=75.79 (2) |
| std=0.8 | nconv=2 nfc=2 | finalacc=52.31 | bestacc=91.44 (3) |
| std=0.8 | nconv=3 nfc=2 | finalacc=88.34 | bestacc=95.06 (9) |
| std=1.0 | nconv=1 nfc=2 | finalacc=37.85 | bestacc=57.06 (2) |
| std=1.0 | nconv=2 nfc=2 | finalacc=29.78 | bestacc=73.28 (3) |
| std=1.0 | nconv=3 nfc=2 | finalacc=68.81 | bestacc=86.55 (9) |
