| std=0.2 | nval=3 | finalacc=80.63 | bestacc=81.31 (3) |
| std=0.2 | nval=5 | finalacc=94.2 | bestacc=94.2 (14) |
| std=0.2 | nval=7 | finalacc=96.71 | bestacc=96.87 (12) |
| std=0.2 | nval=9 | finalacc=98.28 | bestacc=98.34 (12) |
| std=0.2 | nval=11 | finalacc=98.52 | bestacc=98.63 (11) |
| std=0.4 | nval=3 | finalacc=82.73 | bestacc=83.75 (3) |
| std=0.4 | nval=5 | finalacc=94.04 | bestacc=94.24 (7) |
| std=0.4 | nval=7 | finalacc=97.08 | bestacc=97.08 (14) |
| std=0.4 | nval=9 | finalacc=98.2 | bestacc=98.29 (11) |
| std=0.4 | nval=11 | finalacc=98.45 | bestacc=98.67 (11) |
| std=0.6 | nval=3 | finalacc=84.64 | bestacc=85.5 (2) |
| std=0.6 | nval=5 | finalacc=93.56 | bestacc=94.14 (11) |
| std=0.6 | nval=7 | finalacc=97.54 | bestacc=97.54 (14) |
| std=0.6 | nval=9 | finalacc=98.05 | bestacc=98.18 (12) |
| std=0.6 | nval=11 | finalacc=98.24 | bestacc=98.47 (10) |
| std=0.8 | nval=3 | finalacc=85.58 | bestacc=86.74 (4) |
| std=0.8 | nval=5 | finalacc=93.19 | bestacc=94.53 (11) |
| std=0.8 | nval=7 | finalacc=97.18 | bestacc=97.18 (14) |
| std=0.8 | nval=9 | finalacc=97.39 | bestacc=97.55 (12) |
| std=0.8 | nval=11 | finalacc=97.19 | bestacc=97.43 (6) |
| std=1.0 | nval=3 | finalacc=86.89 | bestacc=87.88 (11) |
| std=1.0 | nval=5 | finalacc=93.92 | bestacc=95.03 (12) |
| std=1.0 | nval=7 | finalacc=94.55 | bestacc=95.64 (12) |
| std=1.0 | nval=9 | finalacc=95.1 | bestacc=95.1 (14) |
| std=1.0 | nval=11 | finalacc=94.56 | bestacc=95.47 (7) |
| std=1.2 | nval=3 | finalacc=83.93 | bestacc=84.68 (11) |
| std=1.2 | nval=5 | finalacc=90.28 | bestacc=91.12 (9) |
| std=1.2 | nval=7 | finalacc=88.86 | bestacc=89.37 (7) |
| std=1.2 | nval=9 | finalacc=90.11 | bestacc=90.11 (14) |
| std=1.2 | nval=11 | finalacc=86.41 | bestacc=89.03 (13) |
